manifestation_id	name
152	Iacobus senex.
152	Iosephus, & Isachar, & Danus, & Ruben, & Iudas, & Simeon, & Beniamin } filii Iacobi.
152	Azer, & Zabulon, & Levi, & Gadus, & Nephthalim, } mutae personae, filii quoque Iacobi.
152	Mercatores. duo.
152	Potiphar.
152	Sephira, Potipharis uxor.
152	Syrus servus.
152	Blepharo, praefectus carceris.
152	Lyconides pocillator.
152	Dromo servus.
152	Leonides dispensator.
153	Holofernes, imperator Assyriorum.
153	Moabus & Ammonides } duces militum.
153	Achior, Ammonita.
153	Thraso, & Labrax, } milites Assyrij.
153	Bagoas, cubicularius Holofernis.
153	Ozias, Consul Bettiliensis.
153	Ioachimus, summus sacerdos.
153	Sadocus, & Melchias, & Azarias, } cives Betulienses.
153	Iuditha, vidua.
153	Abra, Iudithae ancilla.
154	Naaman, Princeps Syrus.
154	Artemona, Naamanis uxor.
154	Phronesium, puella Iudaica Artemonae ancilla.
154	Dorio, servus.
154	Sosia, servus.
154	Strato, & Leonidas, & Storax, } Naamanis ministri nobiles.
154	Bromia, ancilla.
154	Syrus, servus.
154	Melchias, Iudaeus.
154	Elisaeus, vates.
155	Nehemias, pocillator regius.
155	Satibarzanes, aulicus.
155	Hananus, & Sadocus, & Azarias, & Eliasibus, } Iudaei.
155	Birria, servus.
155	Lesbia, ancilla.
155	Gosemus, & Sanaballatus, & Tobias, } Iudaeorum Hostes.
155	Simalio, & Sanga, } Milites.
156	Phormio, vietor.
156	Dorio, ahenarius faber.
156	Perilla, Phormionis uxor.
156	Bromia, Dorionis uxor.
156	Lesbia, caupona.
156	Syra, Lesbiae ancilla.
156	Chremes, rusticus.
156	Nisa, Chremetis uxor.
157	Saulus.
157	Sosia, Sauli servus.
157	Tranio & Lyco } Sauli satellites.
157	Eulalia, & Theophilus, & Eustachius, & Sophronius, & Macarius } Christiani.
157	Philippus, Diaconus.
157	Labrax, Lorarius.
157	Nosoponus, & Polydorus, & Philoxenes, } Samaritani cives.
157	Phylax, Iudaeus.
157	Iesus, Vox inconspicua.
157	Ananias, & Ignatius, } Christiani.
158	Tobaeus, senex.
158	Tobias, Tobaei filius.
158	Myda, Tobaei puer.
158	Achior, & Aegio, & Nabathus, } tenuioris fortunae homines.
158	Raphael, genius, adolescentis forma indutus.
158	Anna, Tobaei uxor.
158	Sara, puella.
158	Raguel, Sarae pater.
158	Edna, Raguelis uxor.
158	Phaedra, & Myrrhina, } Ednae pedissequae.
158	Sosia, Raguelis servus.
158	Lychas, Raguelis puer.
158	Gabel, senex.
159	Sathan.
159	Chorus.
159	Angelus.
159	Adamus.
159	Eva.
159	Vox Dei.
163	Dromo.
163	Lira.
164	Elsa.
164	Henno.
164	Dromo.
164	Alcabicius.
164	Greta.
164	Choraules.
164	Chorus.
164	Petrucius.
176	Mago servulus.
176	Ioseph oeconomus.
176	Lorarii.
176	Puer.
176	Sephirah matrona.
176	Potiphar herus, praefectus satellitum regiorum, ut qui etiam praefuerit, tum carceri, tum ipsi praefecto carceris, ut videre est Genesis quadragesimo.
176	Hanno pocillator regius.
176	Gulussa carcerarius.
177	Auriacus.
177	Inquisitio.
177	Tisiphone.
177	Alecto.
177	Megaera.
177	Loysa.
177	Senex.
177	Sicarius.
177	Praefectus.
177	Nutrix.
177	Armiger.
177	Chorus Satellitum.
177	Libertas Saucia.
178	Iesus.
178	Chorus Iudaearum mulierum.
178	Petrus.
178	Caiphas.
178	Iudas.
178	Pontius Pilatus.
178	Turba Iudaeorum.
178	Nuntius prior.
178	Nuntius alter.
178	Chorus Romanorum militum.
178	Iosephus Arimathensis. 
178	Nicodemus.
178	Iohannes.
178	Maria, Mater Iesu.
179	Maria Graeca.
179	Voluptas.
179	Melicerta.
179	Senex.
179	Executor Sententiae.
179	Nuncius.
179	Fides conjugalis.
179	Chorus.
180	Umbra Cunimundi.
180	Rosimunda.
180	Diletta.
180	Helmiges.
180	Nobilis.
180	Satellites.
180	Umbra Alboini.
180	Longinus.
180	Senex.
180	Chorus.
193	Athalia, Jezabelis filia Mater Ochoziae.
193	Joas, Ochoziae filius.
193	Joiada, Summus Sacerdos.
193	Josaba, Soror Ochoziae.
193	Zacharias, Joiadae filius.
193	Eliphas, Joae fautor.
193	Mathan & Arioth & Melchom, Mystae Baalis.
193	Umbra Jezabelis.
193	Umbra Ochoziae.
193	Salomon & Benajas, Levitae.
193	Eliaba & Zabad & Nabal & Achior & Jazer & Nabar & Igaal & Gazabar, Principes.
194	Xeniades.
194	Parmeno, Xeniadis servus.
194	Palinurus, amicus Xeniadis.
194	Frangipanus.
194	Gnatho.
194	Philopota.
194	Plimpius.
194	Sycologus.
194	Xenodochus.
194	Geruntius.
194	Filucio.
194	Dorus.
194	Smullio.
194	Harpax.
194	Antrax, servus Plimpii.
209	Genius Coelestis.
209	Achab, Rex Israël.
209	Jezabel, Regina.
209	Abdemelech, Machinator fraudis.
209	Orestes, Regi à Consiliis.
209	Zambri, Regi à secretis.
209	Charilus & Seba & Elim & Nadab, Principes Israël.
209	Elias Thesbites.
209	Naboth, Jezrahelita.
209	Hazael, Praeses Senatûs.
209	Aod & Assur & Ariel & Architophel, Optimates.
209	Cosbus & Baasa, Falsi testes.
210	Philargyrus, Mercator.
210	Sophophilus, filius Philargyri
210	Baretti, Coquus & janitor Philargyri.
210	Drollio, hortulanus, & servus Philargyri.
210	Davus, Servus Sophophili.
